,ITALIAN,ENGLISH
0,casa,home
1,modo,way
2,giorno,day
3,punto,point
4,ex,former
5,mila,thousands
6,mercato,market
7,lire,lire
8,altra,other
9,soprattutto,above all
10,aver,have
11,negli,in
12,momento,moment
13,poco,little
14,sull',On
15,film,movie
16,noi,we
17,paese,village
18,forse,perhaps
19,oltre,beyond
20,sotto,under
21,deve,needs to
22,partito,match
23,storia,history
24,generale,general
25,tutte,all
26,Di,Of
27,sue,his
28,qui,here
29,quelli,those
30,nuova,new
31,DI,OF
32,città,city
33,bene,well
34,Lo,The
35,far,make
36,tanto,much
37,uomo,man
38,sembra,it seems
39,altre,other
40,Gli,The
41,po',bit'
42,ore,hours
43,pubblico,public
44,Nel,In
45,va,it goes
46,De,De
47,potrebbe,could be
48,Sono,I'm
49,grandi,large
50,alcuni,some
51,scorso,last
52,verso,towards
53,abbiamo,we have
54,viene,he comes
55,avere,to have
56,comunque,Anyway
57,avrebbe,it would have
58,quattro,four
59,Anche,Also
60,io,I
61,quelle,those
62,quindi,so
63,accordo,agreement
64,nazionale,national
65,ormai,at this point
66,rispetto,respect
67,Milano,Milan
68,posto,place
69,tutta,all
70,fu,was
71,visto,seen
72,situazione,situation
73,avuto,had
74,persone,people
75,Da,From
76,soltanto,only
77,circa,about
78,siamo,are
79,sera,evening
80,esempio,example
81,dato,given
82,Con,With
83,italiani,Italians
84,cose,what's this
85,stessa,itself
86,possibile,possible
87,uomini,men
88,piano,plan
89,saranno,they will be
90,Come,How
91,vuole,wants
92,nessuno,nobody
93,dunque,so
94,problemi,problems
