ITALIAN,ENGLISH
casa,home
modo,way
giorno,day
punto,point
ex,former
mila,thousands
mercato,market
lire,lire
mesi,months
altra,other
soprattutto,above all
aver,have
negli,in
momento,moment
poco,little
sull',On
film,movie
noi,we
paese,village
forse,perhaps
oltre,beyond
sotto,under
deve,needs to
partito,match
storia,history
generale,general
tutte,all
Di,Of
sue,his
qui,here
quelli,those
nuova,new
DI,OF
città,city
bene,well
Lo,The
far,make
tanto,much
uomo,man
sembra,it seems
altre,other
Gli,The
po',bit'
ore,hours
pubblico,public
Nel,In
va,it goes
De,De
potrebbe,could be
Sono,I'm
grandi,large
alcuni,some
scorso,last
verso,towards
quali,Which
abbiamo,we have
viene,he comes
avere,to have
comunque,Anyway
avrebbe,it would have
vero,real
quattro,four
Anche,Also
io,I
quelle,those
quindi,so
accordo,agreement
nazionale,national
ormai,at this point
rispetto,respect
Milano,Milan
sistema,system
posto,place
tutta,all
fu,was
visto,seen
situazione,situation
avuto,had
persone,people
Da,From
soltanto,only
circa,about
siamo,are
sera,evening
esempio,example
dato,given
Con,With
italiani,Italians
cose,what's this
stessa,itself
italiana,Italian
possibile,possible
uomini,men
piano,plan
saranno,they will be
Come,How
vuole,wants
nessuno,nobody
dunque,so
problemi,problems
